code,name,industry,peer_count,revenue_q2_yoy_peer_rank,revenue_q2_yoy_peer_pct,net_profit_q2_yoy_peer_rank,net_profit_q2_yoy_peer_pct,gross_margin_delta_peer_rank,gross_margin_delta_peer_pct,roe_h1_2026_peer_rank,roe_h1_2026_peer_pct,ocf_total_ratio_peer_rank,ocf_total_ratio_peer_pct,preliminary_convexity_score_peer_rank,preliminary_convexity_score_peer_pct,pe_dynamic_peer_rank,pe_dynamic_peer_pct,peer_quality_score,top_peers_json
000629,钒钛股份,冶钢原料,8,3,0.75,1,1.0,2,0.875,6,0.375,6,0.375,1,1.0,,,72.92,"[{""code"": ""000629"", ""name"": ""钒钛股份"", ""score"": 80.56}, {""code"": ""601121"", ""name"": ""宝地矿业"", ""score"": 78.4}, {""code"": ""600516"", ""name"": ""方大炭素"", ""score"": 74.89}, {""code"": ""600295"", ""name"": ""鄂尔多斯"", ""score"": 66.33}, {""code"": ""600382"", ""name"": ""广东明珠"", ""score"": 63.68}]"
688166,博瑞医药,化学制药,157,29,0.8181818181818182,1,0.9872611464968153,19,0.8838709677419355,93,0.41025641025641024,124,0.21656050955414013,3,0.9872611464968153,102.0,0.06481481481481481,62.4,"[{""code"": ""300765"", ""name"": ""石药创新"", ""score"": 82.39}, {""code"": ""600267"", ""name"": ""海正药业"", ""score"": 81.31}, {""code"": ""688166"", ""name"": ""博瑞医药"", ""score"": 80.33}, {""code"": ""688758"", ""name"": ""赛分科技"", ""score"": 79.61}, {""code"": ""688505"", ""name"": ""复旦张江"", ""score"": 75.46}]"
300587,天铁科技,橡胶,23,1,1.0,1,1.0,1,1.0,16,0.34782608695652173,2,0.9565217391304348,1,1.0,,,88.41,"[{""code"": ""300587"", ""name"": ""天铁科技"", ""score"": 80.3}, {""code"": ""300767"", ""name"": ""震安科技"", ""score"": 73.24}, {""code"": ""001207"", ""name"": ""联科科技"", ""score"": 72.28}, {""code"": ""920694"", ""name"": ""中裕科技"", ""score"": 68.35}, {""code"": ""300320"", ""name"": ""海达股份"", ""score"": 66.92}]"
000155,川能动力,电力,109,2,0.9908256880733946,1,0.9954128440366973,10,0.9174311926605505,16,0.8623853211009175,86,0.22018348623853212,1,1.0,70.0,0.28125,75.25,"[{""code"": ""000155"", ""name"": ""川能动力"", ""score"": 80.29}, {""code"": ""002039"", ""name"": ""黔源电力"", ""score"": 76.83}, {""code"": ""000601"", ""name"": ""韶能股份"", ""score"": 75.73}, {""code"": ""600116"", ""name"": ""三峡水利"", ""score"": 75.51}, {""code"": ""600292"", ""name"": ""电投水电"", ""score"": 74.93}]"
600227,赤天化,农化制品,62,9,0.8709677419354839,6,0.9193548387096774,12,0.8225806451612904,47,0.25806451612903225,10,0.8548387096774194,2,0.9838709677419355,,,78.49,"[{""code"": ""000525"", ""name"": ""红太阳"", ""score"": 81.89}, {""code"": ""600227"", ""name"": ""赤天化"", ""score"": 80.08}, {""code"": ""603077"", ""name"": ""和邦生物"", ""score"": 77.42}, {""code"": ""600078"", ""name"": ""澄星股份"", ""score"": 76.15}, {""code"": ""600426"", ""name"": ""华鲁恒升"", ""score"": 75.14}]"
000886,海南高速,铁路公路,33,3,0.9393939393939394,2,0.9696969696969697,8,0.7878787878787878,21,0.3939393939393939,28,0.18181818181818182,1,1.0,24.0,0.25806451612903225,64.73,"[{""code"": ""000886"", ""name"": ""海南高速"", ""score"": 80.06}, {""code"": ""600012"", ""name"": ""皖通高速"", ""score"": 77.48}, {""code"": ""601518"", ""name"": ""吉林高速"", ""score"": 71.69}, {""code"": ""601006"", ""name"": ""大秦铁路"", ""score"": 69.39}, {""code"": ""002357"", ""name"": ""富临运业"", ""score"": 69.35}]"
688620,安凯微,半导体,185,18,0.9081081081081082,37,0.8054054054054054,9,0.9567567567567568,96,0.4864864864864865,97,0.4810810810810811,3,0.9891891891891892,,,77.12,"[{""code"": ""688110"", ""name"": ""东芯股份"", ""score"": 82.47}, {""code"": ""688766"", ""name"": ""普冉股份"", ""score"": 82.41}, {""code"": ""688620"", ""name"": ""安凯微"", ""score"": 79.93}, {""code"": ""688469"", ""name"": ""芯联集成"", ""score"": 79.64}, {""code"": ""301536"", ""name"": ""星宸科技"", ""score"": 79.6}]"
002585,双星新材,塑料,77,39,0.5064935064935064,6,0.935064935064935,3,0.974025974025974,56,0.26973684210526316,3,0.974025974025974,1,1.0,,,77.66,"[{""code"": ""002585"", ""name"": ""双星新材"", ""score"": 79.89}, {""code"": ""300586"", ""name"": ""美联新材"", ""score"": 76.4}, {""code"": ""002838"", ""name"": ""道恩股份"", ""score"": 74.91}, {""code"": ""000973"", ""name"": ""佛塑科技"", ""score"": 74.29}, {""code"": ""688203"", ""name"": ""海正生材"", ""score"": 73.5}]"
601500,通用股份,汽车零部件,273,61,0.7802197802197802,18,0.9377289377289377,22,0.9230769230769231,161,0.4099264705882353,21,0.9267399267399268,2,0.9963369963369964,127.0,0.4592274678111588,77.62,"[{""code"": ""600841"", ""name"": ""动力新科"", ""score"": 81.56}, {""code"": ""601500"", ""name"": ""通用股份"", ""score"": 79.69}, {""code"": ""002048"", ""name"": ""宁波华翔"", ""score"": 78.68}, {""code"": ""603197"", ""name"": ""保隆科技"", ""score"": 77.52}, {""code"": ""603007"", ""name"": ""顺景科技"", ""score"": 76.75}]"
688469,芯联集成,半导体,185,44,0.7675675675675676,1,0.9540540540540541,26,0.8648648648648649,114,0.3891891891891892,20,0.8972972972972973,4,0.9837837837837838,,,80.95,"[{""code"": ""688110"", ""name"": ""东芯股份"", ""score"": 82.47}, {""code"": ""688766"", ""name"": ""普冉股份"", ""score"": 82.41}, {""code"": ""688620"", ""name"": ""安凯微"", ""score"": 79.93}, {""code"": ""688469"", ""name"": ""芯联集成"", ""score"": 79.64}, {""code"": ""301536"", ""name"": ""星宸科技"", ""score"": 79.6}]"
