code,blind_id,preliminary_rank,primary_model,fundamental_acceleration_score,new_profit_pool_score,cycle_inflection_score,capital_event_score,preliminary_convexity_score
300332,53264729cbce,64,基本面加速,79.97789523861125,63.5644752428439,68.90213955860199,46.32115642426077,78.84874460788139
688390,ad5b4710811b,65,资本事件,70.89265054533762,53.34596796653642,46.920123155299066,76.51344079994476,78.77700295430293
300107,7c507cdad4b8,66,基本面加速,76.76291848572176,65.42478126871293,66.72140900730497,32.89439162640576,78.75874194141163
300482,01d879311fdb,67,资本事件,68.5825965827683,67.51801884898822,67.93484561924444,80.15881348591509,78.75732975755123
600123,55b14e9dd70a,68,基本面加速,77.90027686984546,64.60850955844361,69.32329466963394,60.20151082077593,78.71955434235916
601002,25511cd66791,69,资本事件,69.49584352833185,57.095529107353116,64.98242525056519,77.7726409934568,78.69802399130675
002048,d689c1936434,70,资本事件,63.85002533478392,53.865751427917765,73.9599368173487,75.61689888668667,78.67632124365848
002497,b5eee51ddd29,71,基本面加速,77.40910374826436,60.212682617700644,64.96420591931516,60.1631154879555,78.62930486452913
688416,32b63561fd09,72,基本面加速,76.66359795512608,56.476147273801594,69.98072366677965,71.52652398778791,78.62187243162288
920438,a2913cf159f3,73,资本事件,71.86514335931632,65.16609046023638,54.00740727388607,75.1295823313062,78.56005609815765
000949,8f97f5793b0a,74,基本面加速,76.96774805068173,61.06503807950131,65.0610902752765,43.90872514777551,78.49406381767561
001339,d94be3387721,75,基本面加速,80.8629375067255,58.19960766710918,56.73471419660232,43.820730660736714,78.45663989758842
000833,a8917200d7f0,76,基本面加速,78.73128072472836,64.79590820661605,58.87842759901447,40.66518082524981,78.44686332433601
000737,f4f4a1fc3442,77,基本面加速,82.67113506887263,61.4771533817495,60.82919195614338,35.564399583419224,78.43475593290954
688328,6777dbc1930a,78,基本面加速,79.46471696398909,60.30439341866973,60.43431165139065,60.39118089828551,78.43438875457426
601121,9d60a4cbbcd0,79,基本面加速,77.82619352364314,66.05501687498612,64.96308940966243,55.88496280148186,78.40062886289994
688257,a937ed5c28bb,80,资本事件,62.17948004829786,44.80610075549586,47.642306628216666,78.6793256737792,78.37712906456869
000520,b56e4e75af25,81,基本面加速,81.31984220517415,63.78117609288959,61.9233119133797,36.37301550876884,78.35544645356948
603186,21adcbc037a0,82,基本面加速,81.51918091173005,61.539914759605274,61.34111588472593,57.16204949782853,78.25050443036393
002042,06b529962abd,83,资本事件,66.54432554292204,55.08444577076654,60.45381737745641,75.75953541787793,78.20832220330914
601678,dab979260677,84,基本面加速,78.57417970379775,61.204455582341666,68.22000711205966,56.92221863851744,78.17940129006185
688388,5615f05035b7,85,资本事件,72.84611163512501,55.575715415665925,53.805300757685224,77.7416552829658,78.15700118611923
002930,433034b5cfaa,86,基本面加速,75.04378381916761,61.01245803751921,74.46402570628663,34.52984599059608,78.15666968475298
002606,af150cd95372,87,资本事件,65.42849626302058,56.19516216309669,59.893786015127226,77.41855647240966,78.14025220754296
301376,ad9db2ae39ca,88,基本面加速,76.0940924549133,54.952960757827064,61.18309594554832,73.00563242880132,78.12056189242021
600663,3502934d6d5d,89,基本面加速,82.28112446542033,66.03966270639829,62.68932009064778,66.80644176079949,78.11765516203738
003022,d449fcb3d778,90,基本面加速,80.28161472011409,64.31255272374257,58.766510528376784,54.63892468551573,78.03149560548532
688653,eb10048df6df,91,资本事件,63.22564408619925,50.1379595584592,61.09283352955697,82.44695624768613,78.01062677227006
688699,efe30fe261c6,92,资本事件,72.39151011366783,50.916294564119504,71.86318640880073,76.52426485059574,77.98870065116094
003018,5a6740a1874c,93,基本面加速,76.09479498241343,65.55473394538934,57.79192191363624,56.57471555048369,77.95694274960927
688087,cc5742f41661,94,资本事件,68.55260288299752,55.01400664745684,59.532278561697346,76.76061410619222,77.9146843994256
605020,81dbdb38362e,95,资本事件,71.02500640175984,57.94169630430412,59.83410691365866,77.66107642990508,77.91050547232801
002491,594f94ea04df,96,基本面加速,75.63860648084085,58.633067209675396,68.47521461482233,37.47213844217374,77.8342981117747
002812,cfccf04881c6,97,资本事件,66.357906000224,50.63439605925192,64.1134515059104,81.54330889332266,77.7328895727339
600351,d677012b0ddc,98,资本事件,62.69747014526757,55.38930457758089,59.01725381221785,87.32704159097193,77.73249324713804
688139,82fd9686b99f,99,资本事件,69.53061249796228,56.7082849355648,61.36290747303252,79.16145069765686,77.72849248098116
603260,dbd4217ef435,100,基本面加速,75.83433690854821,62.49064973793962,75.55529213833412,41.624481718577236,77.69340294497734
