security_code,security_name,secucode,org_code,security_type_code,security_type,trade_market_code,trade_market,exchange,board,industry,report_period,report_date,announcement_date,update_date,basic_eps,book_value_per_share,revenue_cny,revenue_yoy_pct,revenue_qoq_pct,parent_net_profit_cny,parent_net_profit_yoy_pct,parent_net_profit_qoq_pct,weighted_roe_pct,operating_cash_flow_per_share,gross_margin_pct,profit_distribution_description,disclosure_status,source_name,source_page_url,source_api_report,research_stage,fundamental_acceleration_status,new_profit_pool_status,cyclical_turn_status,capital_event_status,announcement_review_status,peer_comparison_status,data_quality_flag
600546,山煤国际,600546.SH,10007144,058001001,A股,069001001001,上交所主板,SSE,Main Board,,2026H1,2026-06-30,2026-08-29,2026-08-29,0.51,8.743946999256,10354585578.21,21.6251906062,8.4354,1009508495.07,54.13,35.5682,6.06,1.2915976866,41.966565921,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
600547,山东黄金,600547.SH,10007152,058001001,A股,069001001001,上交所主板,SSE,Main Board,,2026H1,2026-06-30,2026-08-29,2026-08-29,0.72,7.187036744021,53587760376.93,-5.5986696921,-35.1956,3543114145.74,26.17,45.0867,10.15,1.685620005416,24.4331757468,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
600548,深高速,600548.SH,10002618,058001001,A股,069001001001,上交所主板,SSE,Main Board,,2026H1,2026-06-30,2026-08-26,2026-08-26,0.346,9.070162105036,3652853398.72,-6.7806096614,7.6293,918846192.9,-4.28,-19.5823,3.77,0.803526801364,36.4106994939,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
600549,厦门钨业,600549.SH,10002619,058001001,A股,069001001001,上交所主板,SSE,Main Board,,2026H1,2026-06-30,2026-08-21,2026-08-21,1.3862,11.773995846987,35014480428.15,81.6985110158,22.4106,2200748489.7,127.04,-1.164,12.15,-1.551198378021,21.8280630899,10派4.20元(含税),disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
600550,保变电气,600550.SH,10002620,058001001,A股,069001001001,上交所主板,SSE,Main Board,,2026H1,2026-06-30,2026-08-20,2026-08-20,0.073,0.532569494749,3846312711.49,28.4281331355,35.2225,133655502.87,77.34,24.3911,14.71,-0.210032762279,12.2203158749,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
600551,时代出版,600551.SH,10002621,058001001,A股,069001001001,上交所主板,SSE,Main Board,,2026H1,2026-06-30,2026-08-28,2026-08-28,0.2976,8.835166466976,2917763875.09,-21.5181325316,43.3362,201781037.2,-3.37,198.6787,3.35,-0.256816801028,11.7980872804,10派1.00元(含税),disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
600552,凯盛科技,600552.SH,10002622,058001001,A股,069001001001,上交所主板,SSE,Main Board,,2026H1,2026-06-30,2026-08-26,2026-08-26,0.0669,4.5827772938,3111121313.01,12.5363131221,13.7808,63202135.72,22.71,26.3825,1.48,0.175559269907,17.745352927,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
600556,天下秀,600556.SH,10002624,058001001,A股,069001001001,上交所主板,SSE,Main Board,,2026H1,2026-06-30,2026-08-27,2026-08-27,-0.0379,2.066106495853,2251922571.99,22.1266709104,39.9832,-68445480.33,-288.14,-2323.0803,-1.81,-0.370356614543,11.9866822731,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
600557,康缘药业,600557.SH,10002625,058001001,A股,069001001001,上交所主板,SSE,Main Board,,2026H1,2026-06-30,2026-08-28,2026-08-28,0.26,8.770797795115,1661490320.79,1.213003165,-0.1269,147157774.93,3.36,-14.3727,3.01,0.145013028765,72.9141136961,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
600558,大西洋,600558.SH,10002626,058001001,A股,069001001001,上交所主板,SSE,Main Board,,2026H1,2026-06-30,2026-08-27,2026-08-27,0.1196,2.703213729484,2030086148.79,6.3396589017,5.1309,107377306.67,19.53,-7.3165,4.53,0.135437322663,16.2763276306,10派0.50元(含税),disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
