security_code,security_name,exchange,board,industry,report_period,report_date,announcement_date,update_date,basic_eps,book_value_per_share,revenue_cny,revenue_yoy_pct,revenue_qoq_pct,parent_net_profit_cny,parent_net_profit_yoy_pct,parent_net_profit_qoq_pct,weighted_roe_pct,operating_cash_flow_per_share,gross_margin_pct,profit_distribution_description,disclosure_status,source_name,source_page_url,source_api_report,research_stage,fundamental_acceleration_status,new_profit_pool_status,cyclical_turn_status,capital_event_status,announcement_review_status,peer_comparison_status,data_quality_flag
000501,武商集团,SZSE,Main Board,,2026H1,2026-06-30,2026-08-28,2026-08-28,0.17,14.312458953959,3152830330.58,-0.8997656536,-21.7154,131125222.93,-20.65,-93.7035,1.2,0.53649310174,48.9783510512,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
000503,国新健康,SZSE,Main Board,,2026H1,2026-06-30,2026-08-26,2026-08-26,-0.1044,1.141344820624,101543897.09,6.2952307214,0.995,-102268992.68,-3.21,-10.2895,-10.69,-0.13952884799,-14.5700328961,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
000504,南华生物,SZSE,Main Board,,2026H1,2026-06-30,2026-08-24,2026-08-24,0.0182,0.823408623811,295914290.97,473.5648250701,48.0393,5992694.22,271.99,-146.0151,2.23,-0.01805900004,10.0095615331,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
000505,京粮控股,SZSE,Main Board,,2026H1,2026-06-30,2026-08-27,2026-08-27,0.01,3.948720456347,3114926721.51,-25.9786487418,-16.8922,8032416,-55.25,-101.2972,0.28,0.536527439592,5.6170439883,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
000506,招金黄金,SZSE,Main Board,,2026H1,2026-06-30,2026-08-18,2026-08-18,0.24,0.97085595018,362915728.79,85.131256022,2.8827,226798249.89,407.44,-78.9803,28.34,0.059680145878,55.9424937896,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
000507,珠海港,SZSE,Main Board,,2026H1,2026-06-30,2026-08-29,2026-08-29,0.1699,9.310063250422,2159124371.53,-3.9572343555,3.3487,162483200.09,-6.33,38.2592,2.17,0.4201850119,25.6649022505,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
000509,华塑控股,SZSE,Main Board,,2026H1,2026-06-30,2026-08-26,2026-08-26,-0.0165,0.098551760149,360781434.89,-12.2029659833,41.15,-17660549.38,-551.89,-504.255,-15.41,-0.020436369117,5.4669912314,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
000510,新金路,SZSE,Main Board,,2026H1,2026-06-30,2026-08-28,2026-08-28,-0.1142,1.555140677291,865459285.72,6.0530393403,25.9511,-74069804.13,-10.49,54.1964,-7.09,0.014952366556,6.3642780254,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
000513,丽珠集团,SZSE,Main Board,,2026H1,2026-06-30,2026-08-22,2026-08-22,1.05,15.05317964096,4999669708.65,-20.2847681027,-25.8523,932199213.06,-27.23,-38.4148,6.64,1.985494421162,61.2759595777,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
000514,渝开发,SZSE,Main Board,,2026H1,2026-06-30,2026-08-25,2026-08-25,-0.0043,4.29698228988,392664854.99,177.5445929401,38.2802,-3648146.07,-101.89,-211.2998,-0.1,0.189315429514,29.4446733469,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
000516,国际医学,SZSE,Main Board,,2026H1,2026-06-30,2026-08-21,2026-08-21,-0.0292,1.452876971723,2032048577.68,-0.1110506926,9.6196,-65320241.84,60.4,64.8776,-1.99,0.220404553005,12.5824652933,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
000517,荣安地产,SZSE,Main Board,,2026H1,2026-06-30,2026-08-29,2026-08-29,-0.0492,1.418326611717,1033546210.74,-73.4648949931,-4.8614,-156625964.32,-529.69,-350.4748,-3.41,0.337575714328,6.7086379089,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
