code,name,industry,h1_revenue_100m,h1_revenue_growth_pct,h1_profit_100m,h1_deduct_100m,h1_deduct_growth_pct,h1_ocf_100m,cash_profit_ratio,deduct_to_reported,q2_profit_growth_pct,q2_profit_100m,q2_prior_loss,h1_roe_pct,gross_margin_change_pp,debt_ratio,ar_growth_pct,inventory_growth_pct,ttm_profit_100m,report_date,old_score_ignored,quote_name,price,previous_close,open,day_return_pct,high,low,turnover_cny,turnover_pct,vendor_pe,float_cap_100m,market_cap_100m,pb,quote_date,quote_timestamp,quote_source,pe_ttm_recomputed,finance_separate_model,cyclical_industry_proxy,screen_issues,financial_screen_pass,audit_rank_score,screen_rank,history_date,history_source,history_rows,hist_close,ma5,ma20,ma60,return5_pct,return20_pct,return60_pct,volume_to20,high20_close,low10_close,history_error,quote_history_match,announcement_titles_count,announcement_fulltext_reviewed,announcement_error,price_setup,tomorrow_buy_approved
600395,盘江股份,煤炭开采,48.4532702128,-5.952076647631821,0.63407056,0.7566228473000001,,11.167884313699998,17.612999275191076,1.1932786270663631,-81.82247653387424,0.18082409759999998,False,0.594,7.3702456364,0.7614063336090425,5.66797076167469,-16.61560348079233,3.9800124414,2026-08-22 00:00:00,True,盘江股份,5.36,5.4,5.38,-0.74,5.42,5.28,193910000.0,1.69,28.91,115.06,115.06,1.08,2026-09-04,20260904161452,https://qt.gtimg.cn/q=sh600395,28.90945736831083,False,True,high_or_missing_leverage;revenue_growth_below5_or_missing;deduct_growth_below15_or_lowbase,False,,,,,,,,,,,,,,,,,,,,,,
600396,华电辽能,电力,22.474700880100002,11.047933985852909,1.0508417381,1.030676862,24.582768041240755,2.1674331041999997,2.0625685349336047,0.9808107392684463,,-0.5260992877000001,True,7.4,0.5972009330999981,0.7399800148623743,14.92384056146976,107.26773294776675,0.4743900603999999,2026-08-26 00:00:00,True,华电辽能,13.64,13.57,13.6,0.52,14.19,13.5,1829930000.0,8.93,423.44,200.88,200.88,13.44,2026-09-04,20260904161447,https://qt.gtimg.cn/q=sh600396,423.4490069851388,False,False,high_or_missing_leverage;high_or_invalid_ttm_pe;inventory_outruns_sales,False,,,,,,,,,,,,,,,,,,,,,,
600397,江钨装备,专用设备,1.2123512326,-93.72515844670882,0.0120735476,0.0109260928,,0.357013431,29.569886401905602,0.904961255960924,,-0.0012571765999999992,True,0.63,37.7273526246,0.5637571879669971,-77.74930650890869,747.3163402410203,-0.11285118569999983,2026-08-31 00:00:00,True,江钨装备,16.78,17.89,18.19,-6.2,18.25,16.5,1728560000.0,10.18,-1471.98,166.12,166.12,85.99,2026-09-04,20260904161439,https://qt.gtimg.cn/q=sh600397,,False,False,deduct_profit_below30m;high_or_invalid_ttm_pe;revenue_growth_below5_or_missing;deduct_growth_below15_or_lowbase;inventory_outruns_sales,False,,,,,,,,,,,,,,,,,,,,,,
600398,海澜之家,服装家纺,124.1976104169,7.381103504898423,14.87862698,14.3727483319,-8.23768044499371,26.567021928600003,1.785582901185147,0.965999641715596,-16.530442897494336,5.3856370904999995,False,8.09,-0.36487312210000056,0.42963480593649567,6.027869850875867,-14.239717051485579,20.734321341100003,2026-08-29 00:00:00,True,海澜之家,5.9,5.83,5.81,1.2,5.95,5.81,199030000.0,0.7,13.67,283.36,283.36,1.59,2026-09-04,20260904161433,https://qt.gtimg.cn/q=sh600398,13.666229790618607,False,False,deduct_growth_below15_or_lowbase,False,,,,,,,,,,,,,,,,,,,,,,
600399,抚顺特钢,特钢Ⅱ,41.9566887859,9.750068255767319,-2.525194127,-2.6250427342,,-8.885559970800001,,,,-1.0607859566,True,-4.69,1.8018811545999998,0.585500142881041,10.00938757393881,5.502169823469694,-7.7975903846,2026-08-20 00:00:00,True,抚顺特钢,4.48,4.43,4.44,1.13,4.52,4.43,139870000.0,1.59,-11.33,88.35,88.35,1.68,2026-09-04,20260904161444,https://qt.gtimg.cn/q=sh600399,,False,False,deduct_profit_below30m;loss_or_missing_profit;cash_conversion_below0.8_or_missing;large_nonrecurring_gap_or_missing;high_or_invalid_ttm_pe;deduct_growth_below15_or_lowbase,False,,,,,,,,,,,,,,,,,,,,,,
600400,红豆股份,服装家纺,10.2850648129,-10.79185258981158,-0.9439404614,-0.933684015,,0.2561429957,,,,-0.9999470942,True,-7.04,1.9374647528999986,0.5327312757270678,-41.29134654508645,10.875287972593629,-4.2041096434,2026-08-29 00:00:00,True,红豆股份,2.86,2.9,2.9,-1.38,2.93,2.84,112890000.0,1.7,-15.59,65.53,65.53,5.1,2026-09-04,20260904161451,https://qt.gtimg.cn/q=sh600400,,False,False,deduct_profit_below30m;loss_or_missing_profit;cash_conversion_below0.8_or_missing;large_nonrecurring_gap_or_missing;high_or_invalid_ttm_pe;revenue_growth_below5_or_missing;deduct_growth_below15_or_lowbase,False,,,,,,,,,,,,,,,,,,,,,,
600403,大有能源,煤炭开采,21.6044838757,12.51029244729487,-6.4294307161,-6.4359800713,,-1.1113635626,,,,-2.7373254407,True,-18.87,10.266973519899999,0.8093766205870617,-25.677065987498928,-51.1624669669116,-18.075492095299996,2026-08-25 00:00:00,True,大有能源,6.53,7.03,6.8,-7.11,6.8,6.33,802360000.0,5.08,-8.64,156.12,156.12,5.06,2026-09-04,20260904161440,https://qt.gtimg.cn/q=sh600403,,False,True,deduct_profit_below30m;loss_or_missing_profit;cash_conversion_below0.8_or_missing;large_nonrecurring_gap_or_missing;high_or_missing_leverage;high_or_invalid_ttm_pe;deduct_growth_below15_or_lowbase,False,,,,,,,,,,,,,,,,,,,,,,
600405,动力源,其他电源设备Ⅱ,2.1881192846,8.937559636586778,-0.5408513674000001,-0.5786251847,,-0.3004980842,,,,-0.18885319550000004,True,-136.66,9.3663868333,0.9974493367691569,-17.386880787744307,-21.182667355019724,-2.8058557423000003,2026-08-20 00:00:00,True,动力源,5.05,5.17,5.2,-2.32,5.26,5.03,98010000.0,3.09,-11.03,30.95,30.95,80.23,2026-09-04,20260904161447,https://qt.gtimg.cn/q=sh600405,,False,False,deduct_profit_below30m;loss_or_missing_profit;cash_conversion_below0.8_or_missing;large_nonrecurring_gap_or_missing;high_or_missing_leverage;high_or_invalid_ttm_pe;deduct_growth_below15_or_lowbase,False,,,,,,,,,,,,,,,,,,,,,,
600406,国电南瑞,电网设备,277.6719052975,14.535955907094088,30.726888262800003,29.2528547878,4.314662357540677,5.911095917999999,0.1923753511075953,0.9520278961412255,3.4946101168581656,23.513968528500005,False,5.73,-1.1110251821999988,0.40421926033625266,4.058288468403837,6.639832939564316,83.99469274370001,2026-08-27 00:00:00,True,国电南瑞,22.71,22.59,22.6,0.53,22.89,22.59,821970000.0,0.45,21.72,1818.66,1824.01,3.5,2026-09-04,20260904161443,https://qt.gtimg.cn/q=sh600406,21.71577679991941,False,False,cash_conversion_below0.8_or_missing;deduct_growth_below15_or_lowbase,False,,,,,,,,,,,,,,,,,,,,,,
600408,安泰集团,焦炭Ⅱ,25.726465839099998,7.9149053746401465,-0.7413818531999999,-0.6583025881,,1.3374886352,,,,-0.2420752117999999,True,-6.34,0.21434921149999986,0.7212613021563072,-22.781752731472693,7.287980869869082,-2.8080066617000004,2026-08-22 00:00:00,True,安泰集团,3.05,3.03,3.05,0.66,3.11,2.97,158380000.0,5.13,-10.94,30.71,30.71,2.71,2026-09-04,20260904161458,https://qt.gtimg.cn/q=sh600408,,False,False,deduct_profit_below30m;loss_or_missing_profit;cash_conversion_below0.8_or_missing;large_nonrecurring_gap_or_missing;high_or_missing_leverage;high_or_invalid_ttm_pe;deduct_growth_below15_or_lowbase,False,,,,,,,,,,,,,,,,,,,,,,
